Velocidade Inicial	Angulo (alpha)	Distancia Horizontal	Velociade Final	Valor de g
8700	4	2941.0354097252384	16.96523982304157	14.332914594436545
8700	5	2815.3362839710967	16.965736130559723	14.567165577639447
8700	6	2691.481828741029	16.96492114698878	14.806775501108365
8800	6	2748.9352966965707	16.965388653212756	14.826662551776508
8800	4	3004.351774608151	16.965938989833454	14.349146849028998
8800	5	2875.7613985644407	16.96459237331981	14.583310963658473
8800	1	3406.2933251492905	16.965486582545445	13.673289428502773
8800	0	3545.5079037272526	16.965324253960453	13.455522283476224
8800	2	3269.6524428639295	16.96540466369566	13.893421333724968
8800	3	3135.650797490991	16.96451477664134	14.119426554134435
8900	6	2807.0382137193174	16.96451669919888	14.843545179586522
8900	3	3202.6601508136464	16.966014460027015	14.135007429155184
8900	0	3621.8316394935487	16.9660084142418	13.469180561510717
8900	2	3339.6969892371176	16.965545331860792	13.90811779811801
8900	1	3479.441879072418	16.96584843033857	13.685949209580249
8900	4	3068.3906270125185	16.965626362936234	14.364685345258726
9000	2	3410.520326035235	16.964517734875688	13.922201640792462
9000	3	3270.417245986164	16.9648605117445	14.149502504019617
9000	5	2998.69453006761	16.965449134121226	14.617410445173181
9000	1	3553.4027954489875	16.964981106027604	13.69956987843808
9000	0	3699.003052947782	16.965442683583106	13.480871855487568
9000	6	2865.7864100995444	16.965457870891434	14.862868199688023
8900	5	2936.881744621376	16.965532706206165	14.601746475628659
9100	1	3628.1750722400584	16.965920534550403	13.71336184287714
9100	0	3777.021582037193	16.965095226648717	13.493789076482315
9100	2	3482.1210283738396	16.965365005026847	13.936484874538738
9100	4	3198.6232726066073	16.965019253647704	14.396541020319848
9100	3	3338.9199897509266	16.965678690922736	14.164229597551843
9100	6	2925.1742173724733	16.965097978776555	14.879248081842803
9000	4	3133.148671996327	16.96585317860698	14.381898428199719
9200	1	3703.7586843029317	16.96544277579262	13.726559617527917
9200	2	3554.4984410272996	16.96486800800284	13.950145910002892
9200	0	3855.8873702013357	16.96486825459687	13.506497242543185
9200	3	3408.1666616069256	16.96526510925419	14.180054456414217
9200	4	3264.8124072411238	16.964635486256185	14.412848306329078
9100	5	3061.197040583501	16.965909032692256	14.634864484353429
9200	6	2985.195941063015	16.964990254722064	14.89754371516128
9300	0	3935.601238012088	16.964672472442206	13.518987735992198
9200	5	3124.3865283710843	16.965331560336192	14.651590851271223
9300	2	3627.6527838654215	16.964497301866892	13.965202718444667
9300	5	3188.2606596573596	16.96525006182763	14.66610515099914
9300	3	3478.1567812386857	16.96509516743052	14.193911048324306
9300	6	3045.845282083377	16.965106969961695	14.913482175878489
9300	1	3780.154635163478	16.965015730362982	13.739533748852159
9300	4	3331.7140082095652	16.964638884577614	14.427071692837245
9400	2	3701.5849814839376	16.965728145158057	13.978803037862466
9400	1	3857.3641454431513	16.96456033904302	13.752276352154619
9400	4	3399.327212893426	16.964953098272133	14.442934697075255
9400	5	3252.8171757845853	16.96561894278745	14.682396701516998
9400	6	3107.115544487136	16.965404599726522	14.931338017068725
9400	0	4016.165259551698	16.96598453713494	13.53020704017086
9400	3	3548.8902740796298	16.965082235978386	14.207544926175723
9500	2	3776.296847787075	16.965353687064464	13.991763146309054
9500	1	3935.38989933435	16.965563787403337	13.76515178113645
9500	0	4097.58161146561	16.965615600982925	13.542245946408817
9500	5	3318.054598467616	16.964816493674924	14.697974962720256
9500	3	3620.3677208636645	16.96514430977227	14.222667664777878
9500	4	3467.651434878773	16.965500490461565	14.458562993819465
9500	6	3168.9993343072974	16.9658167921257	14.948981574483193
9600	0	4179.853421852074	16.96507706939168	13.554050395277226
9600	1	4014.2344207093747	16.964850216680652	13.777413374617277
9600	2	3851.790645513263	16.9648723945333	14.004480100135194
9600	6	3231.4887854417498	16.964700390736336	14.963795379952419
9600	3	3692.5908700617247	16.96519792569509	14.235825212380607
9600	4	3536.687013379405	16.964635672492687	14.471660411174813
9600	5	3383.9717338613204	16.96590533268967	14.713819526724516
9700	1	4093.9007322923567	16.965514064503374	13.789799458134851
9700	0	4262.983647795382	16.965910461438728	13.565960686945852
9700	2	3928.069079982698	16.965801969817242	14.0173451084917
9700	6	3294.5762082217143	16.965082573126193	14.98103828789974
9700	4	3606.434519714154	16.96541260233376	14.486810325118245
9700	5	3450.5677651530195	16.96568952167703	14.728947468560284
9700	3	3765.561626971674	16.965180818147928	14.25044313553623
9800	3	3839.2824166436067	16.965039557233016	14.263102902398904
9800	1	4174.392012218617	16.96598308922793	13.80194166188412
9800	5	3517.842829309023	16.965659380899364	14.74384409858649
