Velocidade Inicial	Angulo (alpha)	Distancia Horizontal Forward	Velociade Final Forward	Valor de g Forward	Distancia Horizontal Backward	Velociade Final Backward	Valor de g Backward
7900	1	2785.7395153386774	16.96405751420661	13.532182043338958	2784.959780443044	16.965502472585385	13.537673731103718
8000	2	2738.523369985336	16.96317701672452	13.762160285335113	2737.677591796013	16.965373351623203	13.766738822829415
8000	4	2519.344177661479	16.963301702955796	14.200912355915978	2518.2700253439393	16.965148675102064	14.207253180187005
8000	3	2627.7902754436273	16.963810586618703	13.979453606695932	2626.8508459264845	16.96459046338555	13.984397540872333
8000	1	2851.4592614938656	16.96331186186863	13.54925105599942	2850.6699065951893	16.9647869641693	13.55311133643579
8000	0	2966.519252218685	16.963164023116093	13.338572447273563	2965.7489780788205	16.964930437993356	13.343667619324108
8100	2	2802.2432969015013	16.964108408010414	13.780034488863922	2801.3857564753425	16.964751730730985	13.784163765101422
8100	1	2918.016560436701	16.964403768475854	13.5648184174777	2917.2178530916663	16.965921857612713	13.56865223672941
8100	0	3035.969475893257	16.96301752488506	13.353159819971543	3035.190667994519	16.964831419215585	13.358222032415657
8100	4	2577.5566086503054	16.962962654559295	14.219740110521363	2576.461145070683	16.96474324894752	14.226053443616399
8100	3	2688.7282164388744	16.96319065774848	13.997584441409677	2687.773037219803	16.965512943112813	14.002960856109741
8200	1	2985.409728170194	16.9643173803766	13.579723339703984	2984.601996151817	16.96587678389611	13.585117044669076
8200	0	3106.290967893694	16.963284054104133	13.36896678594194	3105.5038754471666	16.965131942536164	13.372525648587438
8200	5	2525.0662434258297	16.963478821052863	14.46797192537522	2523.7142895580305	16.96486694845043	14.473785678624589
8200	3	2750.4352471390894	16.9643921809817	14.015834954228051	2749.464393890414	16.965126165746202	14.020730349191833
8200	2	2866.765222540596	16.96380123415145	13.795478506421233	2865.8961114094377	16.966030027319157	13.80000238211781
8200	4	2636.5052221986975	16.964332451080786	14.238682325274812	2635.38828114696	16.96447792046565	14.24448137852757
8300	0	3177.4809579120447	16.964011830201205	13.383069563478216	3176.6859252883037	16.965907601594036	13.386601635411798
8300	1	3053.636240145427	16.963144008601777	13.59556989373176	3052.819669688606	16.96473168470196	13.599351809261389
8300	3	2812.9102006551725	16.964381876824373	14.033323162931387	2811.9237393641324	16.965089076126073	14.038192211517492
8300	2	2932.0870961218834	16.96393315379098	13.812352568083787	2931.2065997005666	16.964606192465556	13.816428589707305
8300	5	2582.018928080243	16.963913565482137	14.486723599143769	2580.633723132285	16.96512081492655	14.492516254114872
8300	4	2696.1899616199153	16.96438027680154	14.256793498164944	2695.0514307462768	16.966014134599742	14.263049371106797
8400	0	3249.5362130580093	16.96370356075592	13.39660202916634	3248.7336142021463	16.96564801545129	13.401567420732988
8400	3	2876.15086529528	16.963228786490298	14.048274617237457	2875.148997365257	16.96548451993935	14.05537153095283
8400	2	2998.2061335075086	16.962981180678952	13.826868777404894	2997.3145352959086	16.965239066587568	13.83302280300821
8400	1	3122.6928190684703	16.964041200381498	13.61000669043683	3121.8677962444413	16.96567200135337	13.615332437449107
8400	4	2756.6099394547355	16.96319871936993	14.27410687613552	2755.449769963153	16.96475247381537	14.280330502087608
8400	5	2639.675532094287	16.962982728288708	14.504602266215556	2638.2563832792207	16.965563637771567	14.512961448857235
8400	6	2525.4455799557054	16.963995901357034	14.740469871900515	2523.0523946609655	16.965965135521376	14.750084843134271
8500	0	3322.4530131005513	16.963961988768112	13.411392265963311	3321.6430790230165	16.965944105062682	13.414874135404641
8500	2	3065.1189998712503	16.964143678238305	13.843259657307026	3064.2165161153653	16.964846765920488	13.84727993039225
8500	1	3192.576161306887	16.963938334331868	13.625409314341983	3191.742754405495	16.965601373814774	13.629138029846104
8500	3	2940.1548129865073	16.964148452309228	14.065230900840467	2939.1374915110487	16.96481267456629	14.070038007466405
