Velocidade Inicial	Angulo (alpha)	Distancia Horizontal	Velociade Final	Valor de g
8800	5	2877.323510719078	16.964440163564287	14.577627869875093
8800	1	3407.149973069579	16.963698999253772	13.66809461176087
8800	0	3546.338365464006	16.96318465121331	13.450684668675823
8800	2	3270.5866348741115	16.96309685238769	13.889065886675297
8800	3	3136.713421634814	16.963930280454175	14.112927884112278
8900	6	2810.2958730119744	16.96328264503861	14.835331134285497
8900	3	3203.737923112116	16.963901137245276	14.129869077803225
8900	0	3622.6686982150454	16.963818220476355	13.464370240442411
8900	2	3340.641486027437	16.96321852811268	13.90378876622201
8900	1	3480.30603049533	16.964017488900957	13.682319597236537
8900	4	3069.6597004457767	16.962951102542807	14.360040656548964
9000	2	3411.4751257410967	16.963732086147974	13.918305918865494
9000	3	3271.5099719328255	16.964331575517228	14.144831684611955
9000	5	3000.3325175479504	16.964208233307644	14.611272860000787
9000	1	3554.2743702933485	16.963104816898728	13.695962426331723
9000	0	3699.8466539836563	16.9631999799429	13.477507632281728
9000	6	2869.2756370713337	16.963384624693813	14.851350644775446
8900	5	2938.4811274414747	16.96404571100271	14.593559452225325
9100	1	3629.0541451444715	16.96399480546857	13.709774863412296
9100	0	3777.8716036731284	16.96436128448564	13.49079414868008
9100	2	3483.0861340673114	16.962991732558194	13.932206282469432
9100	4	3199.936499173474	16.964082189730878	14.392410824178393
9100	3	3340.027821841604	16.963603049800113	14.159150576293248
9100	6	2928.9214679701745	16.964012915233692	14.869263615814154
9000	4	3134.4397907949356	16.963258848089268	14.375394777996798
9200	1	3704.645192869295	16.963467761982237	13.722992641080321
9200	2	3555.4739941236307	16.96403094032288	13.946294550443952
9200	0	3856.743860596527	16.964064259442438	13.502118719843546
9200	3	3409.289792391292	16.963217892523613	14.174997954583494
9200	4	3266.148004139221	16.963775721211395	14.406874000123087
9100	5	3062.874266776045	16.963358298013993	14.628250208042761
9200	6	2989.230810822743	16.963613100115328	14.886395944851188
9300	0	3936.4642860956023	16.963811389562267	13.514631537594521
9200	5	3126.1042772672217	16.96303889235133	14.645001229007553
9300	2	3628.638762001588	16.963633339613096	13.959754139226984
9300	5	3190.019765122396	16.96321045458032	14.6595461783912
9300	3	3479.2952925242903	16.963062098922187	14.188881838208815
9300	6	3050.2013533346253	16.9637571418317	14.903292418122916
9300	1	3781.048725317961	16.962989613228007	13.735985867252893
9300	4	3333.072168139026	16.963869496573217	14.422982910564093
9400	2	3702.5817041919677	16.963270899385396	13.972982044591717
9400	1	3858.265880643422	16.964033417262765	13.747625056800365
9400	4	3400.708247822195	16.964258232324656	14.437017272223406
9400	5	3254.619222650361	16.96384931417267	14.675860051255691
9400	6	3111.831133026726	16.964437446018486	14.919960473867494
9400	0	4017.035028074239	16.963502476717718	13.526918212132589
9400	3	3550.044401911141	16.96306134685112	14.202541943373737
9500	2	3777.3044464864347	16.964445941785524	13.987966021672639
9500	1	3936.29944364937	16.963422925656452	13.760152992229445
9500	0	4098.458179256946	16.963077021281883	13.538973129177455
9500	5	3319.900874609711	16.963326660935216	14.691460215942687
9500	3	3621.537835803261	16.963147741002917	14.217683911693404
9500	4	3469.055765923364	16.963328803018474	14.452211789196152
9500	6	3174.117721161974	16.96408497301876	14.937980678702436
