Velocidade Inicial	Angulo (alpha)	Distancia Horizontal	Velociade Final	Valor de g
7960	1	2824.2852411512235	16.96535754246085	13.546410327606912
7960	2	2712.4192413886776	16.965381307807693	13.759936616500886
7960	3	2602.697449938686	16.965520535823003	13.977978036449716
7970	0	2945.0867047648444	16.964554572709645	13.338838892608184
7970	3	2608.7242550811093	16.96450433128356	13.979358456598254
7970	2	2718.7218178169915	16.96576760702102	13.763042756722829
7970	4	2500.956158910388	16.9645015055853	14.202675565672545
7970	1	2830.868862809605	16.96560219281357	13.548992842544362
7980	0	2951.965384812666	16.964676563083678	13.339457317288463
7980	1	2837.460841566564	16.965848831952247	13.549966363738458
7980	3	2614.7587707551816	16.965052907900898	13.981194750156689
7980	2	2725.032368775577	16.964591659728956	13.763992008292814
7980	4	2506.720074021249	16.965238673069024	14.203050540152862
7990	1	2844.061211896317	16.964534579608912	13.552143260005838
7990	2	2731.3509522166255	16.96498146578073	13.765366889576843
7990	0	2958.8528188662945	16.964801872128735	13.341564070811653
7990	3	2620.8009896714716	16.96560255504232	13.983027332707934
7990	4	2512.4913610353788	16.96597548689603	14.205399647553028
8000	0	2965.7489780788205	16.964930437993356	13.343667619324108
8000	1	2850.6699065951893	16.9647869641693	13.55311133643579
8000	3	2626.8508459264845	16.96459046338555	13.984397540872333
8000	2	2737.677591796013	16.965373351623203	13.766738822829415
8000	4	2518.2700253439393	16.965148675102064	14.207253180187005
8010	1	2857.2870068972124	16.96504249489067	13.554077233213807
8010	0	2972.6538366742157	16.965061294187866	13.344278537811991
8010	3	2632.9083829796186	16.96514366669495	13.98622300600162
8010	2	2744.0122718595035	16.965768600401155	13.769829071169022
8010	4	2524.0560606733866	16.96588708459102	14.209593747141511
8020	3	2638.9737082348515	16.96569834137398	13.98988934456862
8020	4	2529.8493859072487	16.965061394439235	14.211439182148144
8020	1	2863.912531730462	16.96530044986254	13.556642295801534
8020	2	2750.354947073626	16.964602007201417	13.77076657811258
8020	0	2979.5674756291933	16.965195448474756	13.346375973956762
8030	3	2645.0466967693847	16.964690366442014	13.99124841582513
8030	0	2986.489805704748	16.965333178574262	13.34698252150001
8030	1	2870.54639029232	16.965561443182757	13.557602627626423
