Velocidade Inicial	Angulo (alpha)	Distancia Horizontal Forward	Velociade Final Forward	Valor de g Forward	Distancia Horizontal Backward	Velociade Final Backward	Valor de g Backward
7480	0	2619.4539170546655	16.962944167036927	13.255576926755007	2618.730922589612	16.965995788631357	13.261197846966052
7490	1	2525.0429161094803	16.96445361686211	13.463201419092687	2524.303668205848	16.9656894011565	13.46717285025952
7490	0	2625.906218878741	16.963057957119165	13.257875210491221	2625.182273309521	16.964546534781665	13.261590661981634
7500	0	2632.367156379932	16.963169923088874	13.260168986302924	2631.6422905826344	16.964659987564705	13.263884763371703
7500	1	2531.2344811856474	16.963123505427575	13.463939060834964	2530.494281461365	16.965934064455986	13.469954173967196
7510	1	2537.4344061848665	16.963367490508475	13.466713958695104	2536.6931609384014	16.964612614496925	13.47068179364054
7510	0	2638.8366924253364	16.963266694177662	13.260939018853216	2638.110946693526	16.964771342426815	13.266174354484198
7520	0	2645.314983856234	16.96337430517401	13.263223979962756	2644.5882606586247	16.964880239456516	13.266934832903067
7520	1	2543.642605436586	16.963595816728873	13.467850152944871	2542.900368399814	16.964852618563075	13.47181365920036
7530	0	2651.8018762381653	16.963467648040027	13.263986922647572	2651.0742828383013	16.96498784389703	13.269215633572145
7530	1	2549.8590999287726	16.963822748458792	13.468982835086624	2549.115931580449	16.965090536592513	13.474580548433119
7540	0	2658.297497434832	16.963572300898658	13.266263183180822	2657.568929402291	16.965093752897282	13.269969075027864
7540	1	2556.0839185920345	16.964061581659905	13.471743413210575	2555.3397222258845	16.965327453389712	13.475704099403469
7550	1	2562.317032656335	16.964285005139356	13.47286784480394	2561.5718720939735	16.96556239143202	13.4784615215524
7550	0	2664.8018309726895	16.963674561352512	13.268535018000511	2664.0723228097677	16.965197401324033	13.272241190015597
7560	1	2568.5585509354537	16.962955939127276	13.475213431041379	2567.8123332788864	16.96579502264136	13.479576857704481
7560	0	2671.3147839150142	16.96376260373509	13.269286734560286	2670.584407961889	16.965299254856696	13.274508893405557
7570	0	2677.8364693153617	16.963862593540416	13.271549992931956	2677.105115014523	16.965400166665358	13.275251149162406
7570	1	2574.8083170361774	16.96317617540071	13.476330050119916	2574.061163205952	16.96602621500033	13.482324927803855
7580	0	2684.366805142869	16.963947856145843	13.272294841709845	2683.6345683025806	16.96549964574265	13.277510296607465
7580	1	2581.0664727239287	16.963407943085254	13.47907193428787	2580.318275194242	16.964692080140125	13.483026013946652
7590	1	2587.3329158688566	16.963624880377665	13.480180485557892	2586.5837282848966	16.964920359962676	13.484130196217055
7590	0	2690.905880250607	16.964044277229966	13.27454960633494	2690.172715799795	16.965597311036312	13.279765115563132
7600	0	2697.45362198729	16.96413986849616	13.276800083211999	2696.719494673976	16.96569332358355	13.280496408695829
7600	1	2593.6076967107247	16.963840266809544	13.481285681489314	2592.857571399234	16.96514662654259	13.486864274863654
7610	1	2599.8908430089837	16.964068080625164	13.48401372286265	2599.1396767634337	16.965372080452763	13.487960466730613
7610	0	2704.0100280574993	16.9642216235843	13.27753407283783	2703.275008294204	16.965789142189426	13.282742814601425
7620	1	2606.182263219297	16.964281652943185	13.485111005458975	2605.430150547498	16.965596639098894	13.490685421393305
7620	0	2710.5752095898124	16.964314673750764	13.279776216960121	2709.839212124403	16.965883220790786	13.283467434209934
7620	2	2503.710714570884	16.96311889806596	13.695729120692274	2502.9105133915446	16.9652141111111	13.70040171130957
7630	0	2717.149122042318	16.96440658041458	13.282014141960303	2716.4121917874722	16.96597597664238	13.2857055210582
7630	2	2509.7416917111937	16.96349254674508	13.697240063069874	2508.9403146754985	16.96559414738125	13.701909099464391
7630	1	2612.482107966588	16.9629433706036	13.487425645022274	2611.728936660161	16.96581955882182	13.491773713304312
7640	0	2723.731667626262	16.962921519593316	13.282362136759009	2722.9938675996723	16.96450386164319	13.287562981218965
7640	2	2515.780678400406	16.963864632334193	13.698747061065262	2514.9780855449994	16.965973179934856	13.703412514170116
7640	1	2618.790242146716	16.963154435909352	13.488515439196721	2618.036127012366	16.96447723683184	13.494084456806794
7650	0	2730.3229849462746	16.963012211429014	13.284591924102472	2729.5842128446893	16.96459527491124	13.288277409337542
7650	1	2625.1067794815535	16.963378092923115	13.491225443874015	2624.351611060278	16.964698595745944	13.495165313828604
7650	2	2521.8276877340563	16.96423478935659	13.700250139861566	2521.023910329732	16.964786319337925	13.706227283104194
7660	0	2736.922971722152	16.96308865447077	13.285309176973964	2736.183323279403	16.964685689825767	13.290503173892978
7660	1	2631.4316287266615	16.963587216632583	13.492307552602918	2630.675469013727	16.964918678463818	13.496242986916187
7660	2	2527.8827312774633	16.963053937689583	13.70305828817905	2527.077709160345	16.965161892802858	13.707722053370649
7670	1	2637.76485959548	16.963795090085288	13.493386506846289	2637.007741901454	16.965137736485733	13.498945462003055
7670	0	2743.5317249438613	16.963177655608817	13.28753084961723	2742.791110402542	16.96477486296968	13.291211149488694
7670	2	2533.9457180118907	16.96342214113263	13.704552802215465	2533.139487999718	16.96553674090536	13.70921295650337
7680	0	2750.1491463909506	16.9632668397501	13.289748425315029	2749.407619152991	16.96486454262212	13.293428833296911
7680	1	2644.106478089633	16.964015918641685	13.496083245715354	2643.348336730196	16.965355694478962	13.500015531733187
7680	2	2540.0167162404846	16.96378906510139	13.70604347196868	2539.209273032988	16.96591037659932	13.710700013578123
7690	0	2756.7752404794096	16.96334206850614	13.290455425917315	2756.03282706999	16.96495343148912	13.29564243277172
7690	2	2546.095730010382	16.96415474624315	13.7075303229385	2545.287136804291	16.964718681345683	13.71349609648019
7690	1	2650.456405072166	16.96422342655861	13.497154650268016	2649.6973097052687	16.965573824515094	13.502709239741213
